20150803,20150901,20151001,20151102,20151201,20160104,20160201,20160302,20160401,20160502,20160601,20160701,20160801,20160901,20161004,20161101,20161201,20170102,20170201,20170302,20170403,20170502,20170601,20170703,20170801,20170901,20171010,20171101,20171201,20180102,20180201,20180302,20180402,20180502,20180601,20180702,20180801,20180903,20181001,20181101,20181203,20190102,20190201,20190304,20190401,20190502,20190603,20190701,20190801,20190902,20191001,20191101,20191202,20200102,20200203,20200302,20200401,20200504,20200601,20200701,20200803,20200901,20201005,20201102,20201201,20210104,20210201,20210302,20210401,20210503,20210601,20210701,20210802,20210901,20211001,20211101,20211201,20220103,20220203,20220302,20220401,20220502,20220602,20220701,20220801,20220901,20221004,20221101,20221201,20230102,20230201,20230302,20230403,20230502,20230601,20230703,20230801,20230901,20231004,20231101,20231201,20240102,20240201,20240304,20240401,20240502,20240603,20240701,20240801,20240902,20241002,20241101,20241202,20250102,20250203,20250304,20250401,20250502,20250602,20250701,20250801,20250901,20251001,20251103,20251201,20260102,20260202
A026960,A026960,A026960,A026960,A026960,A026960,A026960,A026960,A026960,A027050,A027050,A028300,A030520,A030520,A030520,A030520,A030520,A030520,A030520,A030520,A030520,A030520,A030520,A031390,A031390,A031390,A031390,A031390,A031390,A030530,A030530,A030530,A030530,A030530,A030530,A030520,A030520,A030530,A030530,A030530,A030530,A030520,A030520,A030520,A030520,A030520,A030530,A031390,A031390,A031390,A031390,A031390,A031390,A034230,A034230,A034230,A034230,A034230,A034230,A035760,A035760,A035760,A035760,A035760,A035760,A035900,A035900,A035900,A035900,A035900,A035900,A036490,A036490,A036490,A036490,A036540,A036810,A035900,A035900,A035900,A035900,A035900,A035900,A036810,A036810,A036540,A036540,A036540,A036540,A036540,A036540,A036540,A036540,A035900,A035900,A035760,A035760,A035900,A035900,A035900,A035900,A039030,A039030,A039030,A036930,A039030,A039030,A036930,A036930,A036930,A036930,A036930,A036930,A039030,A039030,A039030,A039030,A039030,A039030,A036930,A036930,A036930,A036930,A036930,A036930,A036830,A036830
A027050,A027050,A027050,A027050,A027050,A027050,A027050,A027050,A027050,A028150,A028150,A030520,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A034230,A034230,A034230,A034230,A034230,A034230,A031390,A031390,A031390,A031390,A031390,A031390,A030530,A030530,A031390,A031390,A031390,A031390,A030530,A030530,A030530,A030530,A030530,A031390,A032500,A032500,A032500,A032500,A032500,A032500,A035600,A035600,A035600,A035600,A035600,A035600,A035810,A035810,A035810,A035810,A035810,A035810,A036490,A036490,A036490,A036490,A036490,A036490,A036540,A036540,A036540,A036540,A036810,A036830,A036540,A036540,A036540,A036540,A036540,A036540,A036830,A036830,A036810,A036810,A036810,A036810,A036810,A036810,A036810,A036810,A036540,A036540,A035900,A035900,A036540,A036540,A036540,A036540,A039200,A039200,A039200,A039030,A039200,A039200,A039030,A039030,A039030,A039030,A039030,A039030,A039200,A039200,A039200,A039200,A039200,A039200,A039030,A039030,A039030,A039030,A039030,A039030,A036930,A036930
A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028150,A028300,A028300,A030530,A031390,A031390,A031390,A031390,A031390,A031390,A031390,A031390,A031390,A031390,A031390,A035080,A035080,A035080,A035080,A035080,A035080,A031980,A031980,A031980,A031980,A031980,A031980,A031390,A031390,A031980,A031980,A031980,A031980,A031390,A031390,A031390,A031390,A031390,A031980,A033290,A033290,A033290,A033290,A033290,A033290,A035760,A035760,A035760,A035760,A035760,A035760,A035900,A035900,A035900,A035900,A035900,A035900,A036540,A036540,A036540,A036540,A036540,A036540,A036810,A036810,A036810,A036810,A036830,A036930,A036810,A036810,A036810,A036810,A036810,A036810,A036930,A036930,A036830,A036830,A036830,A036830,A036830,A036830,A036830,A036830,A036810,A036810,A036540,A036540,A036810,A036810,A036810,A036810,A041190,A041190,A041190,A039200,A041190,A041190,A039200,A039200,A039200,A039200,A039200,A039200,A041190,A041190,A041190,A041190,A041190,A041190,A039200,A039200,A039200,A039200,A039200,A039200,A039030,A039030
A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A028300,A030520,A030520,A031390,A032190,A032190,A032190,A032190,A032190,A033560,A033560,A033560,A033560,A033560,A033560,A035600,A035600,A035600,A035600,A035600,A035600,A033290,A033290,A033290,A033290,A033290,A033290,A031980,A031980,A033290,A033290,A033290,A033290,A031980,A031980,A031980,A031980,A031980,A032500,A034230,A034230,A034230,A034230,A034230,A034230,A035810,A035810,A035810,A035810,A035810,A035810,A036490,A036490,A036490,A036490,A036490,A036490,A036830,A036830,A036830,A036830,A036830,A036830,A036830,A036830,A036830,A036830,A036930,A038500,A036830,A036830,A036830,A036830,A036830,A036830,A038500,A038500,A036930,A036930,A036930,A036930,A036930,A036930,A036930,A036930,A036830,A036830,A036810,A036810,A036830,A036830,A036830,A036830,A041510,A041510,A041510,A041190,A041510,A041510,A041190,A041190,A041190,A041190,A041190,A041190,A041510,A041510,A041510,A041510,A041510,A041510,A041190,A041190,A041190,A041190,A041190,A041190,A039200,A039200
A030520,A030520,A030520,A030520,A030520,A030520,A030520,A030520,A030520,A030530,A030530,A032190,A033560,A033560,A033560,A033560,A033560,A034230,A034230,A034230,A034230,A034230,A034230,A035720,A035760,A035760,A035760,A035760,A035760,A034230,A034230,A034230,A034230,A034230,A034230,A033290,A033290,A034230,A034230,A034230,A034230,A033290,A033290,A033290,A032500,A032500,A033290,A035600,A035600,A035600,A035600,A035600,A035600,A035890,A035890,A035890,A035900,A035900,A035900,A036540,A036540,A036540,A036540,A036540,A036540,A036930,A036930,A036930,A036930,A036930,A036930,A036930,A036930,A036930,A036930,A038500,A038540,A036930,A036930,A036930,A036930,A036930,A036930,A038540,A038540,A038500,A038500,A038500,A038500,A038500,A038500,A038500,A038500,A036930,A036930,A036830,A036830,A036930,A036930,A036930,A036930,A041960,A041960,A041960,A041510,A041960,A041960,A041510,A041510,A041510,A041510,A041510,A041510,A042000,A042000,A042000,A042000,A042000,A042000,A041510,A041510,A041510,A041510,A041510,A041510,A041190,A041190
A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A030530,A031390,A031390,A033560,A034230,A034230,A034230,A034230,A034230,A035080,A035080,A035080,A035080,A035080,A035080,A035760,A035810,A035810,A035810,A035810,A035810,A035080,A035080,A035080,A035080,A035080,A035080,A034230,A034230,A035080,A035080,A035080,A035080,A034230,A034230,A034230,A033290,A033290,A034230,A035760,A035760,A035760,A035760,A035760,A035760,A035900,A035900,A035900,A036490,A036490,A036490,A036830,A036830,A036830,A036830,A036830,A036830,A038500,A038500,A038500,A038500,A038500,A038500,A038500,A038500,A038500,A038500,A038540,A039030,A038500,A038500,A038500,A038500,A038500,A038500,A039030,A039030,A038540,A038540,A038540,A038540,A038540,A038540,A038540,A038540,A038500,A038500,A036930,A036930,A038500,A038500,A038500,A038500,A043150,A042600,A042600,A041960,A042600,A042600,A043150,A043150,A043150,A043150,A043150,A043150,A046890,A046890,A046890,A046890,A046890,A046890,A042000,A042000,A042000,A042000,A042000,A042000,A041510,A041510
A031390,A031390,A031390,A031390,A031390,A031390,A031390,A031390,A031390,A031980,A031980,A034230,A035080,A035080,A035080,A035080,A035080,A035600,A035600,A035600,A035600,A035600,A035600,A035810,A035890,A035890,A035890,A035890,A035890,A035600,A035600,A035600,A035600,A035600,A035600,A035080,A035080,A035600,A035600,A035600,A035600,A035600,A035600,A035600,A034230,A034230,A035600,A035810,A035810,A035810,A035810,A035810,A035810,A036490,A036490,A036490,A036540,A036540,A036540,A036930,A036930,A036930,A036930,A036930,A036930,A038540,A038540,A038540,A038540,A038540,A038540,A038540,A038540,A038540,A038540,A039030,A039200,A038540,A038540,A038540,A038540,A038540,A038540,A039200,A039200,A039030,A039030,A039030,A039030,A039030,A039030,A039030,A039030,A038540,A038540,A038500,A038500,A038540,A038540,A038540,A038540,A046890,A043150,A043150,A042600,A043150,A043150,A046890,A046890,A046890,A046890,A046890,A046890,A048410,A048410,A048410,A048410,A048410,A048410,A046890,A046890,A046890,A046890,A046890,A046890,A042000,A042000
A031980,A031980,A031980,A031980,A031980,A031980,A031980,A031980,A031980,A032190,A032190,A035080,A035600,A035600,A035600,A035600,A035600,A035720,A035720,A035720,A035720,A035720,A035720,A035890,A036420,A036420,A036420,A036420,A036420,A035760,A035760,A035760,A035760,A035760,A035760,A035600,A035600,A035760,A035760,A035760,A035760,A035760,A035760,A035760,A035600,A035600,A035760,A035890,A035890,A035890,A035890,A035890,A035890,A036540,A036540,A036540,A036630,A036630,A036630,A038500,A038500,A038500,A038500,A038500,A038500,A039030,A039030,A039030,A039030,A039030,A039030,A039030,A039030,A039030,A039030,A039200,A041190,A039030,A039030,A039030,A039030,A039030,A039030,A041190,A041190,A039200,A039200,A039200,A039200,A039200,A039200,A039200,A039200,A039030,A039030,A038540,A038540,A039030,A039030,A039030,A039030,A048410,A046890,A046890,A043150,A046890,A046890,A048410,A048410,A048410,A048410,A048410,A048410,A049070,A049070,A049070,A049070,A049070,A049070,A048410,A048410,A048410,A048410,A048410,A048410,A046890,A046890
A032190,A032190,A032190,A032190,A032190,A032190,A032190,A032190,A032190,A033560,A033560,A035600,A035720,A035720,A035720,A035720,A035720,A035760,A035760,A035760,A035760,A035760,A035760,A036420,A036490,A036490,A036490,A036490,A036490,A035810,A035810,A035810,A035810,A035810,A035810,A035760,A035760,A035810,A035810,A035810,A035810,A035810,A035810,A035810,A035760,A035760,A035810,A035900,A035900,A035900,A035900,A035900,A035900,A036630,A036630,A036630,A036830,A036830,A036830,A038540,A038540,A038540,A038540,A038540,A038540,A039200,A039200,A039200,A039200,A039200,A039200,A039200,A039200,A039200,A039200,A041190,A041510,A039200,A039200,A039200,A039200,A039200,A039200,A041510,A041510,A041190,A041190,A041190,A041190,A041190,A041190,A041190,A041190,A039200,A039200,A039030,A039030,A039200,A039200,A039200,A039200,A049070,A048410,A048410,A046890,A048410,A048410,A049070,A049070,A049070,A049070,A049070,A049070,A053610,A053610,A053610,A053030,A053030,A053030,A049070,A049070,A049070,A049070,A049070,A049070,A048410,A048410
A032500,A032500,A032500,A032500,A032500,A033560,A033560,A033560,A033560,A034230,A034230,A035720,A035760,A035760,A035760,A035760,A035760,A035810,A035810,A035810,A035810,A035810,A035810,A036490,A036540,A036540,A036540,A036540,A036540,A035890,A035890,A035890,A035890,A035890,A035890,A035810,A035810,A035890,A035890,A035890,A035890,A035890,A035890,A035890,A035810,A035810,A035890,A036420,A036420,A036420,A036420,A036490,A036490,A036830,A036830,A036830,A036930,A036930,A036930,A039030,A039030,A039030,A039030,A039030,A039030,A041510,A041510,A041510,A041510,A041510,A041510,A041190,A041190,A041190,A041190,A041510,A041960,A041190,A041190,A041190,A041190,A041190,A041190,A041960,A041960,A041510,A041510,A041510,A041510,A041510,A041510,A041510,A041510,A041190,A041190,A039200,A039200,A041190,A041190,A041190,A041190,A052020,A049070,A049070,A048410,A049070,A049070,A053610,A053610,A053610,A053610,A053610,A053610,A053800,A053800,A053800,A053610,A053610,A053610,A050890,A050890,A050890,A050890,A050890,A050890,A050890,A050890
A033500,A033500,A033500,A033500,A033500,A034230,A034230,A034230,A034230,A035080,A035080,A035760,A035810,A035810,A035810,A035810,A035810,A035890,A035890,A035890,A035890,A035890,A035890,A036540,A036630,A036630,A036630,A036630,A036630,A036420,A036420,A036420,A036420,A036420,A036420,A035890,A035890,A035900,A035900,A035900,A035900,A035900,A035900,A035900,A035890,A035890,A035900,A036490,A036490,A036490,A036490,A036630,A036630,A036930,A036930,A036930,A038500,A038500,A038500,A039200,A039200,A039200,A039200,A039200,A039200,A041960,A041960,A041960,A041960,A041960,A041960,A041510,A041510,A041510,A041510,A041960,A042000,A041510,A041510,A041510,A041510,A041510,A041510,A042000,A042000,A041960,A041960,A041960,A041960,A041960,A041960,A041960,A041960,A041510,A041510,A041190,A041190,A041510,A041510,A041510,A041510,A053610,A052020,A052020,A049070,A053610,A053610,A053800,A053800,A053800,A053800,A053800,A053800,A056190,A056190,A056190,A053800,A053800,A053800,A053030,A053030,A053030,A053030,A053030,A053030,A052400,A052400
A033560,A033560,A033560,A033560,A033560,A035080,A035080,A035080,A035080,A035600,A035600,A035810,A035890,A035890,A035890,A035890,A035890,A036420,A036420,A036420,A036420,A036420,A036420,A036630,A036830,A036830,A036830,A036830,A036830,A036490,A036490,A036490,A036490,A036490,A036490,A035900,A035900,A036420,A036420,A036420,A036420,A036420,A036420,A036420,A035900,A035900,A036420,A036630,A036630,A036630,A036630,A036830,A036830,A038500,A038500,A038500,A039030,A039030,A039030,A039840,A039840,A039840,A039840,A039840,A039840,A042000,A042000,A042000,A042000,A042000,A042000,A041960,A041960,A041960,A041960,A042000,A042040,A041960,A041960,A041960,A041960,A041960,A041960,A046890,A046890,A042000,A042000,A042000,A042000,A046890,A046890,A046890,A046890,A041960,A041960,A041510,A041510,A041960,A041960,A041960,A041960,A053800,A053610,A053610,A053610,A053800,A053800,A056190,A056190,A056190,A056190,A056190,A056190,A058470,A058470,A058470,A056190,A056190,A056190,A053610,A053610,A053610,A053610,A053610,A053610,A053030,A053030
A034230,A034230,A034230,A034230,A034230,A035600,A035600,A035600,A035600,A035720,A035720,A035890,A036030,A036030,A036030,A036030,A036030,A036490,A036490,A036490,A036490,A036490,A036490,A036830,A036930,A036930,A036930,A036930,A036930,A036540,A036540,A036540,A036540,A036540,A036540,A036420,A036420,A036490,A036490,A036490,A036490,A036490,A036490,A036490,A036420,A036420,A036490,A036830,A036830,A036830,A036830,A036930,A036930,A039030,A039030,A039030,A039200,A039200,A039200,A041190,A041190,A041190,A041190,A041190,A041190,A044340,A044340,A044340,A044340,A044340,A044340,A042000,A042000,A042000,A042000,A042040,A044340,A042000,A042000,A042000,A042000,A042000,A042000,A048410,A048410,A046890,A046890,A046890,A046890,A048410,A048410,A048410,A048410,A046890,A046890,A041960,A041960,A046890,A043150,A043150,A043150,A056190,A053800,A053800,A053800,A056190,A056190,A058470,A058470,A058470,A058470,A058470,A058470,A058610,A058610,A058610,A058470,A058470,A058470,A053800,A053800,A053800,A053800,A053800,A053800,A053800,A053800
A035080,A035080,A035080,A035080,A035080,A035720,A035720,A035720,A035720,A035760,A035760,A036030,A036420,A036420,A036420,A036420,A036420,A036630,A036630,A036630,A036630,A036630,A036630,A036930,A038290,A038290,A038290,A038290,A038290,A036630,A036630,A036630,A036630,A036630,A036630,A036490,A036490,A036630,A036630,A036630,A036630,A036630,A036630,A036630,A036490,A036490,A036630,A036930,A036930,A036930,A036930,A038290,A038290,A039200,A039200,A039200,A039840,A039840,A039840,A041510,A041510,A041510,A041510,A041510,A041510,A045390,A045390,A045390,A045390,A045390,A045390,A044340,A044340,A042040,A042040,A044340,A045390,A045390,A045390,A045390,A045390,A045390,A045390,A048530,A048530,A048410,A048410,A048410,A048410,A049070,A049070,A049070,A049070,A048410,A048410,A046890,A046890,A048410,A046890,A046890,A046890,A058470,A056190,A056190,A056190,A058470,A058470,A058610,A058610,A058610,A058610,A058610,A058610,A058970,A058970,A058970,A058610,A058610,A058610,A056190,A056190,A056190,A056190,A056190,A056190,A056080,A056080
A035600,A035600,A035600,A035600,A035600,A035760,A035760,A035760,A035760,A035810,A035810,A036420,A036490,A036490,A036490,A036490,A036490,A036830,A036830,A036830,A036830,A036830,A036830,A038290,A038540,A038540,A038540,A038540,A038540,A036830,A036830,A036830,A036830,A036830,A036830,A036630,A036630,A036830,A036830,A036830,A036830,A036830,A036830,A036830,A036630,A036630,A036830,A038290,A038290,A038290,A038290,A038500,A038500,A039840,A039840,A039840,A041140,A041140,A041140,A041830,A041830,A041830,A041830,A041830,A041830,A046890,A046890,A046890,A046890,A046890,A046890,A045390,A045390,A044340,A044340,A045390,A046890,A046890,A046890,A046890,A046890,A046890,A046890,A052400,A052400,A048530,A048530,A048530,A048530,A052020,A052020,A052020,A052020,A049070,A049070,A048410,A048410,A049070,A048410,A048410,A048410,A058610,A058470,A058470,A058470,A058610,A058610,A058970,A058970,A058970,A058970,A058970,A058970,A060250,A060250,A060250,A058970,A058970,A058970,A058470,A058470,A058470,A058470,A058470,A058470,A056190,A056190
A035720,A035720,A035720,A035720,A035720,A035810,A035810,A035810,A035810,A035890,A035890,A036490,A036630,A036630,A036630,A036630,A036630,A036930,A036930,A036930,A036930,A036930,A036930,A038540,A039030,A039030,A039030,A039030,A039030,A036930,A036930,A036930,A036930,A036930,A036930,A036830,A036830,A036930,A036930,A036930,A036930,A036930,A036930,A036930,A036830,A036830,A036930,A038500,A038500,A038500,A038500,A039030,A039030,A041140,A041140,A041140,A041510,A041510,A041510,A041960,A041960,A041960,A041960,A041960,A041960,A048260,A048260,A048260,A048260,A048260,A048260,A046890,A046890,A045390,A045390,A046890,A048260,A048260,A048260,A048260,A048410,A048410,A048410,A053030,A053030,A052400,A052400,A052400,A052400,A053030,A053030,A053030,A053030,A052020,A052020,A049070,A049070,A052020,A049070,A049070,A049070,A058970,A058610,A058610,A058610,A058970,A058970,A060250,A060250,A060250,A060250,A060250,A060250,A060280,A060280,A060280,A060250,A060250,A060250,A058610,A058610,A058610,A058610,A058610,A058610,A058470,A058470
A035760,A035760,A035760,A035760,A035760,A035890,A035890,A035890,A035890,A036030,A036030,A036800,A036800,A036800,A036800,A036800,A036800,A038290,A038290,A038290,A038290,A038290,A038290,A039030,A039840,A039840,A039840,A039840,A039840,A038290,A038290,A038290,A038290,A038290,A038290,A036930,A036930,A038290,A038290,A038290,A038290,A038290,A038290,A038290,A036930,A036930,A038290,A039030,A039030,A039030,A039030,A039200,A039200,A041510,A041510,A041510,A041830,A041830,A041830,A042000,A042000,A042000,A042000,A042000,A042000,A048410,A048410,A048410,A048410,A048410,A048410,A048260,A048260,A046890,A046890,A048260,A048410,A048410,A048410,A048410,A048530,A048530,A048530,A053800,A053800,A053030,A053030,A053030,A053030,A053800,A053800,A053800,A053800,A053030,A053030,A052020,A052020,A053800,A052020,A052020,A052020,A060250,A058970,A058970,A058970,A060250,A060250,A060280,A060280,A060280,A060280,A060280,A060280,A064550,A064550,A064550,A060280,A060280,A060280,A058970,A058970,A058970,A058970,A058970,A058970,A058610,A058610
A035810,A035810,A035810,A035810,A035810,A036030,A036030,A036030,A036030,A036420,A036420,A036830,A036830,A036830,A036830,A036830,A036830,A039030,A039030,A039030,A039030,A039030,A039030,A039840,A041140,A041140,A041140,A041140,A041140,A038540,A038540,A038540,A038540,A038540,A038540,A038290,A038290,A038540,A038540,A038540,A038540,A038500,A038500,A038500,A038290,A038290,A038500,A039200,A039200,A039200,A039200,A039840,A039840,A041830,A041830,A041830,A041960,A041960,A041960,A043150,A043150,A043150,A043150,A043150,A043150,A048530,A048530,A048530,A048530,A048530,A048530,A048410,A048410,A048260,A048260,A048410,A048530,A048530,A048530,A048530,A052400,A052400,A052400,A056190,A056190,A053800,A053800,A053800,A053800,A056190,A056190,A056190,A056190,A053800,A053800,A053800,A053800,A056190,A053800,A053800,A053800,A060280,A060250,A060250,A060250,A060280,A060280,A060720,A060720,A060720,A060720,A060720,A060720,A064760,A064760,A064760,A064550,A064550,A064550,A060250,A060250,A060250,A060250,A060250,A060250,A058970,A058970
A035890,A035890,A035890,A035890,A035890,A036420,A036420,A036420,A036420,A036490,A036490,A036930,A036930,A036930,A036930,A036930,A036930,A039840,A039840,A039840,A039840,A039840,A039840,A041140,A041510,A041510,A041510,A041510,A041510,A039030,A039030,A039030,A039030,A039030,A039030,A038540,A038540,A039030,A039030,A039030,A039030,A038540,A038540,A038540,A038500,A038500,A038540,A039840,A039840,A039840,A039840,A041140,A041140,A041960,A041960,A041960,A042000,A042000,A042000,A044340,A044340,A044340,A044340,A044340,A044340,A052020,A052020,A052020,A052020,A052020,A052020,A048530,A048530,A048410,A048410,A048530,A053030,A052400,A052400,A052400,A053030,A053030,A053030,A058470,A058470,A056190,A056190,A056190,A056190,A058470,A058470,A058470,A058470,A056190,A056190,A056190,A056190,A058470,A056190,A056190,A056190,A060720,A060280,A060280,A060280,A060720,A060720,A064550,A064550,A064550,A064550,A064550,A064550,A065350,A065350,A065350,A064760,A064760,A064760,A060280,A060280,A060280,A060280,A060280,A060280,A059090,A059090
A036030,A036030,A036030,A036030,A036030,A036490,A036490,A036490,A036490,A036800,A036800,A038290,A038290,A038290,A038290,A038290,A038290,A041140,A041140,A041140,A041140,A041140,A041140,A041510,A041830,A041830,A041830,A041830,A041830,A039840,A039840,A039840,A039840,A039840,A039840,A039030,A039030,A039200,A039200,A039200,A039200,A039030,A039030,A039030,A038540,A038540,A039030,A041140,A041140,A041140,A041140,A041510,A041510,A042000,A042000,A042000,A043150,A043150,A043150,A045390,A045390,A045390,A045390,A045390,A045390,A052260,A052260,A052260,A052260,A052260,A052260,A053030,A053030,A048530,A048530,A053030,A053800,A053030,A053030,A053030,A053800,A053800,A053800,A058820,A058820,A058470,A058470,A058470,A058470,A060150,A060150,A060150,A060150,A058470,A058470,A058470,A058470,A060150,A058470,A058470,A058470,A061970,A060720,A060720,A060720,A061970,A061970,A064760,A064760,A064760,A064760,A064760,A064760,A067160,A067160,A067160,A065350,A065350,A065350,A064550,A064550,A064550,A064550,A064550,A064550,A060250,A060250
A036190,A036190,A036190,A036190,A036190,A036800,A036800,A036800,A036800,A036830,A036830,A038500,A038500,A038500,A038500,A038500,A038500,A041510,A041510,A041510,A041510,A041510,A041510,A041830,A041960,A041960,A041960,A041960,A041960,A041140,A041140,A041140,A041140,A041140,A041140,A039200,A039200,A039840,A039840,A039840,A039840,A039200,A039200,A039200,A039030,A039030,A039200,A041510,A041510,A041510,A041510,A041830,A041830,A043150,A043150,A043150,A044340,A044340,A044340,A046890,A046890,A046890,A046890,A046890,A046890,A053800,A053800,A053800,A053800,A053800,A053800,A053800,A053800,A053030,A053030,A053800,A056190,A053800,A053800,A053800,A056190,A056190,A056190,A060150,A060150,A058820,A058820,A058820,A058820,A060250,A060250,A060250,A060250,A060150,A060150,A060150,A060150,A060250,A060150,A060150,A060150,A064550,A061970,A061970,A061970,A064550,A064550,A067160,A067160,A067160,A067160,A067160,A067160,A067310,A067310,A067310,A067160,A067160,A067160,A064760,A064760,A064760,A064760,A064760,A064760,A060280,A060280
A036420,A036420,A036420,A036420,A036420,A036830,A036830,A036830,A036830,A038290,A038290,A039030,A039030,A039030,A039030,A039030,A039030,A041830,A041830,A041830,A041830,A041830,A041830,A041960,A043150,A043150,A043150,A043150,A043150,A041510,A041510,A041510,A041510,A041510,A041510,A039840,A039840,A041140,A041140,A041140,A041140,A039840,A039840,A039840,A039200,A039200,A039840,A041830,A041830,A041830,A041830,A041960,A041960,A044340,A044340,A044340,A044490,A044490,A044490,A047310,A047310,A047310,A047310,A047310,A047310,A056190,A056190,A056190,A056190,A056190,A056190,A056190,A056190,A053800,A053800,A056190,A058470,A056190,A056190,A056190,A058470,A058470,A058470,A060250,A060250,A060150,A060150,A060150,A060150,A060720,A060720,A060720,A060720,A060250,A060250,A060250,A060250,A060720,A060250,A060250,A060250,A064760,A064550,A064550,A064550,A064760,A064760,A067310,A067310,A067310,A067310,A067310,A067310,A067630,A067630,A067630,A067310,A067310,A067310,A065350,A065350,A065350,A065350,A065350,A065350,A060370,A060370
A036490,A036490,A036490,A036490,A036490,A038290,A038290,A038290,A038290,A038500,A038500,A039840,A039840,A039840,A039840,A039840,A039840,A041960,A041960,A041960,A041960,A041960,A041960,A043150,A043370,A043370,A043370,A043370,A043370,A041830,A041830,A041830,A041830,A041830,A041830,A041140,A041140,A041510,A041510,A041510,A041510,A041510,A041510,A041510,A039840,A039840,A041510,A041960,A041960,A041960,A041960,A042000,A042000,A044490,A044490,A044490,A045100,A045100,A045100,A048260,A048260,A048260,A048260,A048260,A048260,A058470,A058470,A058470,A058470,A058470,A058470,A058470,A058470,A056190,A056190,A058470,A058820,A058470,A058470,A058470,A058820,A058820,A058820,A060720,A060720,A060250,A060250,A060250,A060250,A061970,A061970,A061970,A061970,A060720,A060720,A060720,A060720,A061970,A060720,A060720,A060720,A066970,A064760,A064760,A064760,A067160,A067160,A067630,A067630,A067630,A067630,A067630,A067630,A068240,A068240,A068240,A068240,A068240,A068240,A067160,A067160,A067160,A067160,A067160,A067160,A064760,A064760
A036560,A036560,A036560,A036560,A036560,A038500,A038500,A038500,A038500,A039030,A039030,A041140,A041140,A041140,A041140,A041140,A041140,A043150,A043150,A043150,A043150,A043150,A043150,A043370,A044490,A044490,A044490,A044490,A044490,A041960,A041960,A041960,A041960,A041960,A041960,A041510,A041510,A041830,A041830,A041830,A041830,A041830,A041830,A041830,A041510,A041510,A041830,A042000,A042000,A042000,A042000,A043150,A043150,A045100,A045100,A045100,A045390,A045390,A045390,A048410,A048410,A048410,A048410,A048410,A048410,A058820,A058820,A058820,A058820,A058820,A058820,A058820,A058820,A058470,A058470,A058820,A060150,A058820,A058820,A058820,A060150,A060150,A060150,A061970,A061970,A060720,A060720,A060720,A060720,A064260,A064260,A064260,A064260,A061970,A061970,A061970,A061970,A064260,A061970,A061970,A061970,A067160,A067160,A067160,A067160,A067310,A067310,A068240,A068240,A068240,A068240,A068240,A068240,A068760,A068760,A068760,A068760,A068760,A068760,A067310,A067310,A067310,A067310,A067310,A067310,A065350,A065350
A036710,A036710,A036710,A036710,A036710,A039030,A039030,A039030,A039030,A041140,A041140,A041510,A041510,A041510,A041510,A041510,A041510,A043370,A043370,A043370,A043370,A043370,A043370,A044490,A046890,A046890,A046890,A046890,A046890,A043150,A043150,A043150,A043150,A043150,A043150,A041830,A041830,A041960,A041960,A041960,A041960,A041960,A041960,A041960,A041830,A041830,A041960,A043150,A043150,A043150,A043150,A044340,A044340,A045390,A045390,A045390,A046890,A046890,A046890,A048530,A048530,A048530,A048530,A048530,A048530,A060150,A060150,A060150,A060150,A060150,A060150,A060150,A060150,A058820,A058820,A060150,A060250,A060150,A060150,A060150,A060250,A060250,A060250,A064260,A064260,A061970,A061970,A061970,A061970,A064550,A064550,A064550,A064550,A064260,A064260,A064260,A064260,A064550,A064260,A064260,A064260,A067310,A067310,A067310,A067310,A067630,A067630,A068760,A068760,A068760,A068760,A068760,A068760,A069080,A069080,A069080,A069080,A069080,A069080,A068760,A068760,A068760,A068760,A068760,A068760,A067160,A067160
A036800,A036800,A036800,A036800,A036800,A041140,A041140,A041140,A041140,A041510,A041510,A041830,A041830,A041830,A041830,A041830,A041830,A044490,A044490,A044490,A044490,A044490,A044490,A046890,A048260,A048260,A048260,A048260,A048260,A043370,A043370,A043370,A043370,A043370,A043370,A041960,A041960,A042000,A042000,A042000,A042000,A042000,A042000,A042000,A041960,A041960,A042000,A044340,A044340,A044340,A044340,A044490,A044490,A046890,A046890,A046890,A047310,A047310,A047310,A049950,A049950,A049950,A049950,A049950,A049950,A060250,A060250,A060250,A060250,A060250,A060250,A060250,A060250,A060150,A060150,A060250,A060720,A060250,A060250,A060250,A060720,A060720,A060720,A064550,A064550,A064260,A064260,A064260,A064260,A064760,A064760,A064760,A064760,A064550,A064550,A064550,A064550,A064760,A064550,A064550,A064550,A067630,A067630,A067630,A067630,A068240,A068240,A074600,A074600,A069080,A069080,A069080,A069080,A074600,A074600,A074600,A074600,A074600,A074600,A069080,A069080,A069080,A069080,A069080,A069080,A067310,A067310
